Name,GP,REC,RecYDS,Y/R,RecTD,Height ,Weight ,40 Time ,Vertical ,Bench Press,Broad Jump
Mark Andrews,35,112,1765,15.8,22,77,256,4.67,31,17,113
Mike Gesicki,45,129,1481,11.5,15,78,246,4.54,,22,129
Hayden Hurst,31,100,1281,12.8,3,75,250,4.67,31.5,,120
Dallas Goedert,53,198,2988,15.1,21,77,256,,,23,
Chris Herndon,34,86,1048,12.2,7,76,253,,,21,
